Index_name,Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Benin,Burkina Faso,Cape Verde,Ivory Coast,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Senegal,Sierra Leone,Togo,Angola,Cameroon,Central African Republic,Chad,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Sao Tome and Principe,Burundi,Comoros,Djibouti,Ethiopia,Eritrea,Kenya,Madagascar,Malawi,Mauritius,Mozambique,Rwanda,Seychelles,Somalia,Tanzania,Uganda,Zambia,Zimbabwe,Botswana,Lesotho,Namibia,South Africa,Swaziland
1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,244.68275119590288,174.2140776396904,,206.4846755981445,131.7105377197266,240.0761596595912,101.67560114088533,79.89439079583615,,202.52593306295552,90.09103313897893,214.7695477697864,,,,53.469083564162965,240.88941579361057,148.04034612229552,107.9425301694386,313.9483983645879,141.3014337843233,98.33395398991674,,144.0135866557722,80.14224328321767,120.30969732541791,163.73269293946998,232.80537070201564,152.91714458173772,403.02519351421483,,64.97446144770593,,,,,112.65411514643858,146.7280392833743,53.372560477842114,,,42.26601818005602,311.3778138412859,73.30032214003617,,82.71620213791486,295.2346010425996,291.0481155078543,84.84790427902378,59.092130327810594,,675.2749226779688,165.92698047975458
1970,925.4501831606455,301.435857132519,,486.66705322265625,306.049398803711,658.6002285789186,186.00067972055413,147.3449173171114,,595.6634394282855,172.86367733197665,279.86542250881246,,149.7156781495151,,117.5186919089233,469.3923121334178,209.58804098106484,400.3850542308722,476.84753839070856,214.209074815739,219.62495382326588,,365.9573470007062,167.12284497044178,187.0395812223524,396.8134242005665,414.71512213847325,294.398538121625,2461.2364476433595,,109.74292506750812,,,,,242.58659025083347,258.9008209632512,114.10535996310122,1008.3233184120382,,113.2706677073451,875.722208225687,121.30571825014343,,172.58662016007742,503.8400105667306,602.8483054630941,459.55129391965875,125.01309554475245,,1494.278428841593,482.78197448563077
1980,2458.516567347887,664.5686875577983,,885.3463012695314,468.80883789062517,1207.288963085039,301.462946095554,248.7533678328075,525.3549668470389,881.1426430654531,266.7585304406253,348.1937924686808,374.44397056060427,173.90890365225638,,207.41766382088264,689.2032187175395,283.87886313253466,1018.3117558955125,738.6294442288746,261.26425291263183,309.4387582474608,711.896268015802,920.0449464236666,359.5906296342591,213.1108267484918,1027.892363071646,336.64060599233665,172.7117899379869,4366.276878843639,,218.492551486066,658.5445313904132,820.595900208278,228.25757360070975,,370.01257308621507,410.93996189143945,167.07199839505552,1395.3668866094588,,283.5807282899872,2959.2027733657824,130.1784160657469,194.617256164551,233.83980574396773,486.0610021231249,854.8715391723892,1368.5300244248897,245.23058505350687,2001.0570606411243,2675.4307873436055,786.8905158784249
1990,1725.7872043009343,934.9123992808879,6474.953367954234,1379.9158569335941,590.4385589599617,1885.4911292876488,374.5257352749546,277.93407048447085,1091.8009695356673,961.3073035101406,594.9924897247895,380.93696018614094,464.03775844478866,222.67998965429462,,281.09581078097807,860.2732532677177,287.5853167820745,444.84234694863443,792.7819588817629,178.84191735156426,339.8098719512582,549.2988134310073,905.6322201167026,359.77253288202826,237.2509072959856,907.1272003012743,177.64628578386532,410.6599454141181,4608.455874070328,,169.6472202136285,840.7143105884539,763.2459120060174,167.4182978409517,278.9928576169346,369.3141277565886,293.5385797989417,185.53919864592473,3275.463284513297,244.62146310581633,242.53830703159352,6593.723887995859,131.02323900236,225.6820037841797,234.24663670800183,412.24517695809766,688.0626606272486,2964.2208326447485,449.96656151949975,2276.3509388799694,3488.9110151448367,1515.4483085493862
2000,2951.992375290845,1414.971575219559,8105.026414263106,2030.789526367189,931.7562469482434,3068.704026228104,780.6597488577047,420.9073681814558,2127.784299548902,1276.7363926462237,588.6717779898022,620.9546471159583,465.07803884960094,414.8264469765196,333.9565789455768,461.6484232140989,1008.9595294542447,312.6961381523007,1254.6097580069022,974.0338604248767,290.9499884906194,400.7859736771173,1901.9956851933741,1082.4117394276652,327.8650652512976,528.5374467456252,1641.7744000874852,241.0628182183635,8310.689441486438,6055.92398762936,799.6447092746226,152.80828577071722,1056.865989114026,886.1625201421023,189.2018781151088,393.6525348177308,615.2773721546777,360.72888073418824,288.264016997674,5488.8152683714015,409.63977904373587,345.2183722286592,9836.64287512085,,490.7478424072266,363.10277316543613,763.7137398749853,506.66326312750937,4446.677671718769,694.8892625395683,3248.5859653183206,4957.248980915958,2471.756052771
2010,4710.94427986543,2879.483687864332,10588.005001573056,3188.3815185546896,1894.451336669923,3992.551094329179,1123.942470508423,717.8998242655309,3270.530006450256,1954.515761820032,668.8249519926763,1848.026767643399,786.0693410770743,650.4798759895424,664.0975352583931,781.4901149524562,1742.7619387384552,522.4159991709449,2478.695286781997,1367.416714449168,539.2164987716775,681.164783611073,3485.4854617460237,1494.4668804303112,424.9034382451003,840.3733970225514,2868.162851480439,454.238651089222,12904.214331535299,8253.44785670667,1595.742159611699,241.96646728787468,1473.6449771262849,2155.2986326074606,588.0745982572712,574.3812512439455,1490.007385350993,497.28517613570085,441.04837079624,9999.756243247979,560.7457746339345,717.3314000817938,14642.40255195599,381.65597194036155,923.2726806640627,817.6121428238187,1520.5272934413301,1384.13217555598,6540.978555050133,1131.007317714353,5419.0442706031645,7178.8686004954125,3944.3706202514377
2020,3513.940194775515,3548.81820629472,6962.61878070065,3526.75073242188,680.076934814453,3652.410280366325,1278.5521449338949,863.1607492065934,3108.6674305388797,2418.580397433835,738.0911555893649,2269.939377835595,1131.41766828291,752.6883539019645,636.596438871104,848.3505031739345,2017.25668607812,577.725728275544,2070.181497766805,1563.548172794705,486.7589944015215,935.200352254721,1778.76361733417,1603.03164649689,448.30337087468195,664.7312527053925,2064.4155149286753,550.9379453204594,6917.133267287245,7657.7041823941,2260.926874814565,219.15220878237,1548.52892501919,3034.216505109825,921.865011062976,,2009.11222174771,481.457627822737,631.7675710352321,9056.828152310274,470.897161308057,798.5186240194071,13731.14843133835,431.5996671767515,1070.692138671875,865.329616801752,1047.0874982786731,1573.3085426069752,6334.212257355565,1041.9726777967894,4558.36526546926,6398.3439525532995,3675.6495644125753
